日付,レース番号,開催,レース名,馬名,馬番,勝率,予想順位
2026-04-05,202606030401,中山1R,3歳未勝利,キタノエピックアン,,29.64948589988832,1
2026-04-05,202606030401,中山1R,3歳未勝利,ギンケイ,,16.24267436012188,2
2026-04-05,202606030401,中山1R,3歳未勝利,タイセイルビー,,14.897273777979771,3
2026-04-05,202606030401,中山1R,3歳未勝利,サーロー,,10.287966921705527,4
2026-04-05,202606030401,中山1R,3歳未勝利,スターキャンディ,,3.435505235387626,5
2026-04-05,202606030401,中山1R,3歳未勝利,ミアルーチェ,,3.401498167030769,6
2026-04-05,202606030401,中山1R,3歳未勝利,ゼフィリア,,2.946076034387158,7
2026-04-05,202606030401,中山1R,3歳未勝利,フライスカイハイ,,2.705738359854013,8
2026-04-05,202606030401,中山1R,3歳未勝利,サクラボーベル,,2.6984390564467415,9
2026-04-05,202606030401,中山1R,3歳未勝利,トルマリンテソーロ,,2.6984390564467415,10
2026-04-05,202606030401,中山1R,3歳未勝利,トラストレガート,,2.377401191582266,11
2026-04-05,202606030401,中山1R,3歳未勝利,デコニミカヅキ,,2.0834558867843516,12
2026-04-05,202606030401,中山1R,3歳未勝利,エフハリスト,,1.9997462809061748,13
2026-04-05,202606030401,中山1R,3歳未勝利,ゴールドビリーヴ,,1.901977671275227,14
2026-04-05,202606030401,中山1R,3歳未勝利,プレシャスフェザー,,1.5904918035758548,15
2026-04-05,202606030401,中山1R,3歳未勝利,カフェオリーブ,,1.0838302966275795,16
2026-04-05,202606030402,中山2R,3歳未勝利,ラインジーク,,56.343802270898344,1
2026-04-05,202606030402,中山2R,3歳未勝利,ミスタートントン,,16.610866782894938,2
2026-04-05,202606030402,中山2R,3歳未勝利,グランマズドリーム,,5.351184581053279,3
2026-04-05,202606030402,中山2R,3歳未勝利,ヘイスティハート,,4.224419887680546,4
2026-04-05,202606030402,中山2R,3歳未勝利,キトゥンズシルバー,,2.955173129454427,5
2026-04-05,202606030402,中山2R,3歳未勝利,トゥモローズウェイ,,1.8712845338325623,6
2026-04-05,202606030402,中山2R,3歳未勝利,キイチムーブメント,,1.8420205560387253,7
2026-04-05,202606030402,中山2R,3歳未勝利,リゼクールグレー,,1.6824150090418721,8
2026-04-05,202606030402,中山2R,3歳未勝利,タイセイギガース,,1.641483733428807,9
2026-04-05,202606030402,中山2R,3歳未勝利,ケイベエ,,1.3935471542711055,10
2026-04-05,202606030402,中山2R,3歳未勝利,コブラツイスト,,1.3834212350952269,11
2026-04-05,202606030402,中山2R,3歳未勝利,ハンナパール,,1.1076048902483762,12
2026-04-05,202606030402,中山2R,3歳未勝利,ヤマトスイフト,,1.0338574524503754,13
2026-04-05,202606030402,中山2R,3歳未勝利,グリュック,,0.9137452142028728,14
2026-04-05,202606030402,中山2R,3歳未勝利,チッタデラモーレ,,0.8660330013766611,15
2026-04-05,202606030402,中山2R,3歳未勝利,アイアンロッキー,,0.779140568031873,16
2026-04-05,202606030403,中山3R,3歳未勝利,ミスターキャンベラ,,63.23861749769406,1
2026-04-05,202606030403,中山3R,3歳未勝利,モロノカガヤキ,,14.152845576923909,2
2026-04-05,202606030403,中山3R,3歳未勝利,カシノスパーク,,5.0386046740059,3
2026-04-05,202606030403,中山3R,3歳未勝利,コスモラムバック,,4.863768769601968,4
2026-04-05,202606030403,中山3R,3歳未勝利,ヒャクレツケン,,1.7177988855358879,5
2026-04-05,202606030403,中山3R,3歳未勝利,ブルーアンビエンス,,1.6604785505776154,6
2026-04-05,202606030403,中山3R,3歳未勝利,カンフーヒーロー,,1.33338946976141,7
2026-04-05,202606030403,中山3R,3歳未勝利,ラッキーストーン,,1.0835265117699686,8
2026-04-05,202606030403,中山3R,3歳未勝利,モズラストセール,,0.9246588055102309,9
2026-04-05,202606030403,中山3R,3歳未勝利,パワポケグッド,,0.9130716957286344,10
2026-04-05,202606030403,中山3R,3歳未勝利,ピクシーゲイル,,0.906266945730584,11
2026-04-05,202606030403,中山3R,3歳未勝利,エルドラド,,0.8984454448108168,12
2026-04-05,202606030403,中山3R,3歳未勝利,ブッチギレ,,0.8795604780824997,13
2026-04-05,202606030403,中山3R,3歳未勝利,ダイユウアドバンス,,0.8396361227882988,14
2026-04-05,202606030403,中山3R,3歳未勝利,サフール,,0.8131420713133475,15
2026-04-05,202606030403,中山3R,3歳未勝利,ニケフェリーチェ,,0.7361885001648708,16
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,シャンデルナゴル,,60.340148012894964,1
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,エターナルシルバー,,5.248972118097075,2
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,エクロジャイト,,5.143891324049458,3
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,ヴォンヌヴォー,,4.983149746165071,4
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,デスティネ,,3.9327068440165465,5
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,シュバルツガイスト,,3.805056569371898,6
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,オンクラウドナイン,,3.5081781135956827,7
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,グランナヴィール,,3.018119632639244,8
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,ドーバーホーク,,2.2399730197701686,9
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,アウルムレガリア,,1.8099708722416255,10
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,リードアクトレス,,1.763333511348692,11
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,クラウングスタフ,,1.5631677562584636,12
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,ホウオウスターツ,,1.4306700370323011,13
2026-04-05,202606030404,中山4R,4歳以上障害未勝利,アルデツヨシ,,1.2126624425188033,14
2026-04-05,202606030405,中山5R,3歳未勝利,エリュグレイス,,27.265504018374276,1
2026-04-05,202606030405,中山5R,3歳未勝利,ファーザーアウェイ,,14.482727026605774,2
2026-04-05,202606030405,中山5R,3歳未勝利,ショウナンサイオウ,,11.448605746386157,3
2026-04-05,202606030405,中山5R,3歳未勝利,コスモナエマ,,8.803893912187794,4
2026-04-05,202606030405,中山5R,3歳未勝利,マーゴットドライ,,6.581995523187027,5
2026-04-05,202606030405,中山5R,3歳未勝利,タッカーヴァンバン,,6.199299461202638,6
2026-04-05,202606030405,中山5R,3歳未勝利,カドドゥディエ,,5.001122983775097,7
2026-04-05,202606030405,中山5R,3歳未勝利,ラインクインビー,,4.270364375778592,8
2026-04-05,202606030405,中山5R,3歳未勝利,ファインブライト,,2.9763457298334024,9
2026-04-05,202606030405,中山5R,3歳未勝利,コスモアンタレス,,2.8777534174501125,10
2026-04-05,202606030405,中山5R,3歳未勝利,グレイスルーラー,,2.4415287629026725,11
2026-04-05,202606030405,中山5R,3歳未勝利,グランフルス,,2.353287999289339,12
